date	ouv	haut	bas	clot	vol	devise	
23/12/2011 00:00	3	3.09	2.93	3.07	0	EUR	
24/12/2011 00:00	3.07	3.07	3.02	3.02	0	EUR	
25/12/2011 00:00	3.02	3.34	2.96	3.28	0	EUR	
26/12/2011 00:00	3.28	3.33	3	3.12	0	EUR	
27/12/2011 00:00	3.12	3.19	3.03	3.11	0	EUR	
28/12/2011 00:00	3.11	3.28	3.1	3.28	0	EUR	
29/12/2011 00:00	3.28	3.3	3.21	3.21	0	EUR	
30/12/2011 00:00	3.21	3.38	3.21	3.38	0	EUR	
31/12/2011 00:00	3.38	3.82	3.3	3.55	0	EUR	
01/01/2012 00:00	3.55	4.21	3.55	4.11	0	EUR	
02/01/2012 00:00	4.11	4.3	3.8	4.02	0	EUR	
03/01/2012 00:00	4.02	4.15	3.62	3.7	0	EUR	
04/01/2012 00:00	3.7	4.41	3.7	4.23	0	EUR	
05/01/2012 00:00	4.23	5.47	4.22	5.47	0	EUR	
06/01/2012 00:00	5.47	5.71	4.9	5.2	0	EUR	
07/01/2012 00:00	5.2	5.36	4.94	5.25	0	EUR	
08/01/2012 00:00	5.25	5.5	5.28	5.43	0	EUR	
09/01/2012 00:00	5.43	5.6	4.66	4.9	0	EUR	
10/01/2012 00:00	4.9	5.28	4.83	5.2	0	EUR	
11/01/2012 00:00	5.2	5.53	5.09	5.5	0	EUR	
12/01/2012 00:00	5.5	5.59	5.1	5.28	0	EUR	
13/01/2012 00:00	5.28	5.36	5.1	5.15	0	EUR	
14/01/2012 00:00	5.15	5.45	5	5.31	0	EUR	
15/01/2012 00:00	5.31	5.56	5.3	5.43	0	EUR	
16/01/2012 00:00	5.43	5.6	5.13	5.16	0	EUR	
17/01/2012 00:00	5.16	5.5	3.72	4.45	0	EUR	
18/01/2012 00:00	4.45	5.32	4.1	4.51	0	EUR	
19/01/2012 00:00	4.51	4.98	4.5	4.95	0	EUR	
20/01/2012 00:00	4.95	5.2	4.88	5.05	0	EUR	
21/01/2012 00:00	5.05	5.08	4.76	4.8	0	EUR	
22/01/2012 00:00	4.8	5.01	4.8	5	0	EUR	
23/01/2012 00:00	5	5.04	4.76	4.93	0	EUR	
24/01/2012 00:00	4.93	4.97	4.8	4.95	0	EUR	
25/01/2012 00:00	4.95	4.93	4.3	4.54	0	EUR	
26/01/2012 00:00	4.54	4.59	4.19	4.24	0	EUR	
27/01/2012 00:00	4.24	4.22	3.94	4.06	0	EUR	
28/01/2012 00:00	4.06	4.44	3.91	4.4	0	EUR	
29/01/2012 00:00	4.4	4.31	4.08	4.14	0	EUR	
30/01/2012 00:00	4.14	4.3	4.11	4.29	0	EUR	
31/01/2012 00:00	4.29	4.34	4.21	4.25	0	EUR	
01/02/2012 00:00	4.25	4.7	4.15	4.7	0	EUR	
02/02/2012 00:00	4.7	4.78	4.5	4.67	0	EUR	
03/02/2012 00:00	4.67	4.67	4.48	4.65	0	EUR	
04/02/2012 00:00	4.65	4.62	4.5	4.53	0	EUR	
05/02/2012 00:00	4.53	4.53	4.2	4.38	0	EUR	
06/02/2012 00:00	4.38	4.42	4.14	4.14	0	EUR	
07/02/2012 00:00	4.14	4.4	4.23	4.39	0	EUR	
08/02/2012 00:00	4.39	4.45	4.14	4.28	0	EUR	
09/02/2012 00:00	4.28	4.4	4.27	4.4	0	EUR	
10/02/2012 00:00	4.4	4.59	4.36	4.56	0	EUR	
11/02/2012 00:00	4.56	4.61	4.3	4.35	0	EUR	
12/02/2012 00:00	4.35	4.46	4.16	4.28	0	EUR	
13/02/2012 00:00	4.28	4.31	4.05	4.09	0	EUR	
14/02/2012 00:00	4.09	4.09	3.22	3.45	0	EUR	
15/02/2012 00:00	3.45	3.7	3.2	3.2	0	EUR	
16/02/2012 00:00	3.2	3.45	3.05	3.3	0	EUR	
17/02/2012 00:00	3.3	3.58	3.29	3.29	0	EUR	
18/02/2012 00:00	3.29	3.48	3.21	3.29	0	EUR	
19/02/2012 00:00	3.29	3.46	3.21	3.41	0	EUR	
20/02/2012 00:00	3.41	3.44	3.3	3.37	0	EUR	
21/02/2012 00:00	3.37	3.39	3.18	3.25	0	EUR	
22/02/2012 00:00	3.25	3.5	3.26	3.46	0	EUR	
23/02/2012 00:00	3.46	3.99	3.44	3.78	0	EUR	
24/02/2012 00:00	3.78	3.87	3.65	3.85	0	EUR	
25/02/2012 00:00	3.85	3.87	3.56	3.56	0	EUR	
26/02/2012 00:00	3.56	3.81	3.57	3.67	0	EUR	
27/02/2012 00:00	3.67	3.8	3.69	3.76	0	EUR	
28/02/2012 00:00	3.76	3.79	3.62	3.64	0	EUR	
29/02/2012 00:00	3.64	3.73	3.6	3.71	0	EUR	
01/03/2012 00:00	3.71	3.8	3.71	3.75	0	EUR	
02/03/2012 00:00	3.75	3.8	3.42	3.53	0	EUR	
03/03/2012 00:00	3.53	3.64	3.43	3.56	0	EUR	
04/03/2012 00:00	3.56	3.75	3.52	3.7	0	EUR	
05/03/2012 00:00	3.7	3.83	3.64	3.74	0	EUR	
06/03/2012 00:00	3.74	3.9	3.65	3.84	0	EUR	
07/03/2012 00:00	3.84	3.89	3.7	3.83	0	EUR	
08/03/2012 00:00	3.83	3.85	3.71	3.82	0	EUR	
09/03/2012 00:00	3.82	3.83	3.71	3.79	0	EUR	
10/03/2012 00:00	3.79	3.8	3.57	3.7	0	EUR	
11/03/2012 00:00	3.7	3.77	3.56	3.71	0	EUR	
12/03/2012 00:00	3.71	3.81	3.6	3.65	0	EUR	
13/03/2012 00:00	3.65	4.06	3.65	4.06	0	EUR	
14/03/2012 00:00	4.06	4.26	4.01	4.23	0	EUR	
15/03/2012 00:00	4.23	4.26	4.01	4.11	0	EUR	
16/03/2012 00:00	4.11	4.22	4.01	4.2	0	EUR	
17/03/2012 00:00	4.2	4.21	3.98	4.08	0	EUR	
18/03/2012 00:00	4.08	4.14	4.02	4.1	0	EUR	
19/03/2012 00:00	4.1	4.12	3.5	3.59	0	EUR	
20/03/2012 00:00	3.59	3.77	3.59	3.76	0	EUR	
21/03/2012 00:00	3.76	3.75	3.64	3.64	0	EUR	
22/03/2012 00:00	3.64	3.76	3.57	3.6	0	EUR	
23/03/2012 00:00	3.6	3.71	3.57	3.62	0	EUR	
24/03/2012 00:00	3.62	3.65	3.56	3.59	0	EUR	
25/03/2012 00:00	3.44	3.63	3.35	3.53	0	EUR	
26/03/2012 00:00	3.53	3.71	3.47	3.71	0	EUR	
27/03/2012 00:00	3.71	3.71	3.59	3.63	0	EUR	
28/03/2012 00:00	3.63	3.7	3.6	3.7	0	EUR	
29/03/2012 00:00	3.7	3.75	3.6	3.75	0	EUR	
30/03/2012 00:00	3.75	3.75	3.68	3.73	0	EUR	
31/03/2012 00:00	3.73	3.74	3.62	3.66	0	EUR	
01/04/2012 00:00	3.66	3.82	3.62	3.82	0	EUR	
02/04/2012 00:00	3.82	3.82	3.62	3.81	0	EUR	
03/04/2012 00:00	3.81	3.82	3.72	3.8	0	EUR	
04/04/2012 00:00	3.8	3.84	3.7	3.82	0	EUR	
05/04/2012 00:00	3.82	3.89	3.7	3.7	0	EUR	
06/04/2012 00:00	3.7	3.87	3.68	3.68	0	EUR	
07/04/2012 00:00	3.68	3.73	3.63	3.72	0	EUR	
08/04/2012 00:00	3.72	3.76	3.65	3.73	0	EUR	
09/04/2012 00:00	3.73	3.79	3.65	3.71	0	EUR	
10/04/2012 00:00	3.71	3.85	3.69	3.82	0	EUR	
11/04/2012 00:00	3.82	3.83	3.74	3.8	0	EUR	
