date	ouv	haut	bas	clot	vol	devise	
06/01/2012 00:00	6.65	6.9	6	6	34	USD	
07/01/2012 00:00	6.8	6.8	6.8	6.8	0	USD	
08/01/2012 00:00	6.9	7	6.9	7	5	USD	
09/01/2012 00:00	6.99	6.99	6.23	6.3	67	USD	
10/01/2012 00:00	6.24	7.14	6.24	7.14	62	USD	
11/01/2012 00:00	7.14	7.33	6.25	7	105	USD	
12/01/2012 00:00	6.95	7.38	6.51	6.51	82	USD	
13/01/2012 00:00	6.8	7.36	6.6	6.6	49	USD	
14/01/2012 00:00	6.5	6.5	6.3	6.3	17	USD	
15/01/2012 00:00	7.15	7.15	7.15	7.15	17	USD	
16/01/2012 00:00	6.2	7.1	6.2	7.1	13	USD	
17/01/2012 00:00	6.5	6.9	6	6	81	USD	
18/01/2012 00:00	5.99	7.1	5.99	7.1	133	USD	
19/01/2012 00:00	5.52	7	5.52	6.22	247	USD	
20/01/2012 00:00	6.9	6.95	6.55	6.95	96	USD	
21/01/2012 00:00	6.3	6.77	6.28	6.77	81	USD	
22/01/2012 00:00	6.79	6.83	6.03	6.79	81	USD	
23/01/2012 00:00	6.5	6.52	6	6.52	95	USD	
24/01/2012 00:00	6.52	6.57	6	6.55	85	USD	
25/01/2012 00:00	6.26	6.86	6	6.31	81	USD	
26/01/2012 00:00	6.27	6.3	5.5	5.5	30	USD	
27/01/2012 00:00	3.8	6.03	3.8	5.88	92	USD	
28/01/2012 00:00	4.91	4.91	4.91	4.91	0	USD	
29/01/2012 00:00	5.89	5.9	5.3	5.5	9	USD	
30/01/2012 00:00	5.3	5.58	5.3	5.58	15	USD	
31/01/2012 00:00	5.7	6.22	3.8	5.3	111	USD	
01/02/2012 00:00	5.53	5.99	5.52	5.88	12	USD	
02/02/2012 00:00	5.99	6.28	5.89	6.28	251	USD	
03/02/2012 00:00	6.29	6.35	5.93	6.3	156	USD	
04/02/2012 00:00	6.35	6.5	5.94	5.94	68	USD	
05/02/2012 00:00	5.93	6.15	5.6	5.6	48	USD	
06/02/2012 00:00	5.6	5.9	5.2	5.6	29	USD	
07/02/2012 00:00	5.5	5.88	5.5	5.69	165	USD	
08/02/2012 00:00	5.79	5.87	5.66	5.87	84	USD	
09/02/2012 00:00	5.52	5.89	5.51	5.89	84	USD	
10/02/2012 00:00	5.88	5.88	5.8	5.88	177	USD	
11/02/2012 00:00	5.71	5.71	5.5	5.5	2	USD	
12/02/2012 00:00	5.78	5.78	5.55	5.67	65	USD	
13/02/2012 00:00	5.53	5.79	5.5	5.79	100	USD	
14/02/2012 00:00	5.2	5.8	4.56	4.89	128	USD	
15/02/2012 00:00	4.9	5.08	4.69	4.69	68	USD	
16/02/2012 00:00	4.5	4.98	4.15	4.51	116	USD	
17/02/2012 00:00	4.67	4.8	4.5	4.67	245	USD	
18/02/2012 00:00	4.67	4.73	4.14	4.23	254	USD	
19/02/2012 00:00	4.38	4.38	4.3	4.38	93	USD	
20/02/2012 00:00	4.72	4.72	4.4	4.44	316	USD	
21/02/2012 00:00	4.52	4.58	4.3	4.58	358	USD	
22/02/2012 00:00	4.47	4.59	4.46	4.51	75	USD	
23/02/2012 00:00	4.59	5.22	4.55	5.22	715	USD	
24/02/2012 00:00	5.12	5.22	4.95	4.95	38	USD	
25/02/2012 00:00	5.11	5.11	5	5	120	USD	
26/02/2012 00:00	4.79	5.07	4.78	4.98	41	USD	
27/02/2012 00:00	4.97	5.1	4.95	5.04	309	USD	
28/02/2012 00:00	5.09	5.1	4.71	4.88	440	USD	
29/02/2012 00:00	4.97	5	4.85	4.99	242	USD	
01/03/2012 00:00	4.99	5.05	4.9	5	291	USD	
02/03/2012 00:00	4.99	4.99	4.64	4.79	246	USD	
03/03/2012 00:00	4.81	4.99	4.6	4.65	126	USD	
04/03/2012 00:00	4.78	4.81	4.77	4.81	114	USD	
05/03/2012 00:00	4.8	5.06	4.77	5.06	518	USD	
06/03/2012 00:00	5	5.05	4.95	4.98	297	USD	
07/03/2012 00:00	5.05	5.09	4.93	4.93	373	USD	
08/03/2012 00:00	4.94	5.08	4.87	5.01	327	USD	
09/03/2012 00:00	5.01	5.07	4.93	4.93	278	USD	
10/03/2012 00:00	4.91	4.99	4.85	4.94	114	USD	
11/03/2012 00:00	4.94	5	4.84	5	25	USD	
12/03/2012 00:00	4.85	4.99	4.85	4.99	109	USD	
13/03/2012 00:00	4.99	5.32	4.96	5.3	735	USD	
